"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
W912CH-24-R-0142,,IRB: Spare Parts,No,No,$250K to $1M,5420,332312,,CONTR,,Firm Fixed Price,11/20/2024,12/20/2024,4/30/2025,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911SA-25-Q-A005,W911SA20P3031,NE024 CUSTODIAL NEW SOL B+1,,,$25K to $250K,S201,,WOMEN OWNED SMALL BUSINESS,PO,,Firm Fixed Price,12/16/2024,1/8/2025,2/1/2025,23,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 005496,,APG DCoE SAAS PPSS,,,$25M to $50M,R425,,,CONTR,,Cost Plus Fixed Fee,1/13/2025,1/27/2025,12/20/2024,60,ACC CTRS,ACC-RI,PEO ENTERPRISE,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 009142,,11911284 WA104 CUSTODIAL OPT 1 FY23 DEOB,,,< $25K,S201,,,,,,,,3/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 003496,,AFTF Inspection/Maintenance (OY3),,,$25K to $250K,J042,,,,,,,,2/28/2025,12,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 021487,,PCC5 Rental/Lease of Dump Trucks w/Trailer/Backhoe,,,$25K to $250K,W038,,,CONTR,,Firm Fixed Price,11/22/2024,12/8/2024,12/31/2024,3,MICC,418TH CSB,"HQ, AFC",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91247-25-R-A001,,M&R Airfield Lightning Control Syst. SAAF-MAAF,,,$25K to $250K,J063,,,CONTR,,Firm Fixed Price,11/29/2024,11/29/2024,,12,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W91ZLK-25-1-0001,,Economy Act 20th NDT P&P & DOE,,,$25K to $250K,N/A,,,AGMT,,Firm Fixed Price,,,2/7/2025,1,ACC CTRS,ACC-APG,FORSCOM,ACC OSBP - APG,https://osbp.apg.army.mil
PAN413-25-P-0000 000796,,SUP - JPMRC 25-02 Mobile Light Sets,,,$25K to $250K,6115,,,CONTR,,Firm Fixed Price,,,12/18/2024,1,ACC OO,413TH CSB,USARPAC,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W912CH-25-R-0003,,SPHS-Modernization (Test To Compete),,,$100M to $250M,2350,,,CONTR,,Firm Fixed Price,1/24/2025,2/18/2025,,60,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911SA-25-Q-1009,,PR 0012210338 Lodging Camp Bullis TX,,,< $25K,V231,,,CONTR,,Firm Fixed Price,11/20/2024,12/4/2024,1/4/2025,1,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56KGU-25-2-0062,,FY25 APEX Award - Southern Alleghenies Plan & Dev,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W91QVN-25-R-0011,,PR 12200196 Liturgical Service Pianist,,,< $25K,G002,,,CONTR,,Firm Fixed Price,,,1/1/2025,TBD,ACC OO,411TH CSB,AMC: IMCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANROC-25-P-0000 002539,,BASE OPS - SBF-6722/6731 NG SECM STNLSS STEEL,,,< $25K,UNKNOWN,,,DO,,Firm Fixed Price,12/5/2024,12/10/2024,12/23/2024,1,ACC CTRS,ACC-RI,AMC: TACOM,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANDTA-25-P-0000 000969,,Multi PR & WBS - Magnaplate HCR M284 Pre-Resevoir,No,No,$25K to $250K,K010,332813,,CONTR,,Firm Fixed Price,11/26/2024,,12/31/2024,11,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-24-P-0000 006448,W52P1J20C0003,MOTCO_Sanitary Sewer Services (Tidal) Recompete,,,$25K to $250K,UNKNOWN,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,2/11/2025,,4/1/2025,60,ACC CTRS,ACC-RI,AMC: SDDC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 009953,,"USACAPOC, Sustainment Support Services (Recompete)",No,No,$25M to $50M,R799,541614,,DO NEG,,Firm Fixed Price,12/5/2024,12/19/2024,2/21/2025,60,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W50NH9-25-R-0006,W52H0920C0001,G-7 ETA Recompete ,,,$25M to $50M,R425,541512,,CONTR,,Fixed Price Level of Effort,12/20/2024,1/23/2025,3/31/2025,60,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-25-P-0000 004219,,Natural Gas Purchase FY25,,,$1M to $5M,6830,,,DO,,Firm Fixed Price,12/11/2024,,12/12/2024,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W519TC-25-T-4002,,"BGAD FY25: ARAT II, SUPPLIES",,,$25K to $250K,8140,,,DO,,Firm Fixed Price,11/19/2024,12/5/2024,2/28/2025,6,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W911SA-25-R-3001,W911SA20D3000,63d G4 2025 Maintenance Labor Contract,,,$100M to $250M,R706,,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,CONTR,,Firm Fixed Price,3/15/2025,5/15/2025,7/1/2025,60,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-18-9-1008 Q002,,23-04 INIT0002 Propulsion Development,,,< $25K,N/A,,,DO NEG,,Cost Plus Fixed Fee,,,,18,ACC CTRS,ACC-NJ,AFC: CCDC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN414-25-P-0000 000265,,2025 West Africa Logistics Conference,,,$25K to $250K,V231,,,CONTR,,Firm Fixed Price,3/3/2025,4/4/2025,,TBD,ACC OO,414TH CSB,"HQ, AFC",ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-24-P-0000 021029,W91QV124C0007,FY25 JBMHH Maintenance & Repair Housing Recompete,No,No,$10M to $25M,Z1FA,561210,8(A) SOLE SOURCE ,CONTR,,Firm Fixed Price,12/20/2024,1/20/2025,5/20/2025,12,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-25-F-A057,,"OY4 Task Order 20D5025 SNOW Charlottesville,VA",No,No,< $25K,S218,561790,,DO,,Firm Fixed Price,10/22/2024,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W9124D-25-R-0019,W9124D23F0376,12th-Raleigh-AMS-New,No,No,$5M to $10M,R408,561110,,DO NEG,,Firm Fixed Price,11/6/2024,12/6/2024,1/1/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 008969,,RTOP 25-140 French Gordan,,,$25K to $250K,U099,,,DO,,Time and Materials,,,12/20/2024,4,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-25-P-0000 004359,,FMTV A2 - DO 0082_Shipping Instructions Updates,,,$100M to $250M,2355,,,,,Firm Fixed Price,,,11/29/2024,TBD,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911SA-25-Q-A006,,612 EN DET HSAD MOB Meals,,,< $25K,8940,,,PO,,Firm Fixed Price,11/25/2024,12/9/2024,1/4/2025,1,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN413-25-P-0000 000797,,DEOB PR 0011830715,,,$1M to $5M,N/A,,,,,,,,12/18/2024,1,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-25-P-0000 002531,,TAOG Coveralls w/Laundry Service,,,< $25K,UNKNOWN,,,CONTR,,Firm Fixed Price,11/22/2024,11/29/2024,12/27/2024,2,MICC,FDO EUSTIS,FORSCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-25-Q-0012,,"EH4C0851EH 016123498 Pump, Oil",,,$25K to $250K,1040,,,PO,,Firm Fixed Price,12/12/2024,1/9/2025,12/18/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W15QKN-25-F-0036,,First DO (Min Guarantee) Offeror B,No,No,$25K to $250K,2541,332999,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-NJ,PEO SOLDIER,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANAPG-25-P-0000 002801,,CBC Citrix Universal for Gov PR 12220514,,,$250K to $1M,7B20,,,BPA,,Firm Fixed Price,,,1/20/2025,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANROC-25-P-0000 000051,,GCSS Army VERITAS NetBackup Maintenance Renewal,No,No,$1M to $5M,7B22,334111,,DO NEG,,Firm Fixed Price,11/29/2024,12/9/2024,12/20/2024,24,ACC CTRS,ACC-RI,PEO ENTERPRISE,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W50NH9-25-F-EWIR,W50NH924D0001,NGIC FY25 EWIR TO 2,,,$5M to $10M,R425,,,DO NEG,,Cost Plus Fixed Fee,11/5/2024,12/6/2024,2/3/2025,12,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911SR-25-1-0001,,Bio-Gene Technology Ltd (Driessens),,,$25K to $250K,AC11,,,GRANT,,Cost No Fee,,,12/3/2024,36,ACC CTRS,ACC-APG,DHA,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-24-P-0000 010628,,DPW EMERGENCY HIGH VOLTAGE REPAIR,,,$25K to $250K,N/A,,,,,,,,11/30/2024,60,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912D2-25-Q-2000,,Site 512 Facility and Maintenance Services,,,$1M to $5M,Z1AZ,,,PO,,Firm Fixed Price,11/27/2024,12/11/2024,12/13/2024,12,ACC OO,408TH CSB,USARCENT,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W56KGU-25-2-0072,,FY25 APEX Award - University of Delaware,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
W9124D-25-Q-0025,47QTCA20D00CF,HQ: iNSIGHT 700c Scanner HW/SW Maintenance Renewal,No,No,$25K to $250K,7E20,811210,,CONTR,FSS,Firm Fixed Price,12/2/2024,12/16/2024,12/16/2024,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56KGY-25-F-00XX,,Q-53 6 AN/TPQ-53 MMR for Egyptian Land Forces,,,$100M to $250M,5840,,,DO NEG,,Firm Fixed Price,,,3/31/2025,67,ACC CTRS,ACC-APG,PEO MS,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-24-P-0000 008655,,"ABS/ESC Order 3,128 Kits, FY24 & FY25 Funds",,,$25M to $50M,2320,,,DO,,Firm Fixed Price,,,12/16/2024,12,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-23-P-0000 007386,,PBA FY25 Corrugated Fillers,,,$25K to $250K,8135,,,CONTR,,Firm Fixed Price,11/26/2024,12/6/2024,1/15/2025,12,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W9124D-25-R-0034,W9124D24F0057,RN25-630 RSN DOCUMENTUM,,,$1M to $5M,7B22,,,DO,,Firm Fixed Price,11/29/2024,12/16/2024,1/28/2025,12,MICC,FDO FSH,HRC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-25-R-0003,W52P1J18DA118,Army Reserve Intelligence Support Services,No,No,$25M to $50M,R423,541519,SMALL BUSINESS SET ASIDE - TOTAL,DO NEG,IDC,Firm Fixed Price,1/30/2025,2/27/2025,7/7/2025,60,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W56KGZ-25-Q-2003,, MOR 24-038 MERV Battle Position Camera Towers,,,$1M to $5M,5836,,,CONTR,,Firm Fixed Price,11/25/2024,12/6/2024,12/30/2024,TBD,ACC OO,408TH CSB,USARCENT,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANROC-24-P-0000 007210,,FY25 CAAA MEC MJU76 PISTON,,,$25K to $250K,9330,,,,,,,,3/21/2025,9,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W15QKN-21-D-5008 XXX7,,"Snow - Jane Lew, WV020 (OY4 T/O)",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,11/21/2024,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-24-P-0000 001418,W52P1J16D0017,FY25 Multifunctional Device 5 Year Re-Compete,,,$25K to $250K,N/A,,,CONTR,,Firm Fixed Price,12/6/2024,12/10/2024,1/2/2025,60,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANNWJ-25-P-0000 000656,,NSW Colt CM762 Egypt EG-VPR,,,$250K to $1M,1005,,,,,,,,1/31/2025,12,ACC CTRS,ACC-NJ,PEO SOLDIER,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN411-24-P-0000 003486,,SV/TO/Non-Medical OY3 ,,,$10M to $25M,N/A,,,CONTR,,Firm Fixed Price,,,,12,ACC OO,411TH CSB,AIR FORCE,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 002838,,DDREX Retrofit (Lot 1),,,$25M to $50M,5840,,,DO NEG,,Cost Plus Fixed Fee,,,6/26/2025,44,ACC CTRS,ACC-APG,PEO MS,ACC OSBP - APG,https://osbp.apg.army.mil
W911W6-25-F-000X,,Tyonek TO Aircraft Modification and Upgrades,,,< $25K,UNKNOWN,,,DO NEG,,Cost Plus Fixed Fee,11/20/2024,12/21/2024,12/2/2024,6,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W519TC-24-R-0011,,Global Protective Services (GPS),No,No,≥ $250M,S206,561612,,CONTR,,Firm Fixed Price,12/9/2024,1/17/2025,,120,ACC CTRS,ACC-RI,OSD,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PAN413-25-P-0000 000750,,Add BLDG 3597 to existing contract,,,$25K to $250K,J063,,,,,,,,1/1/2025,9,ACC OO,413TH CSB,MEDCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W519TC-25-Q-T001,,TEAD - FY25 - Wireless Mobile Services,No,No,$250K to $1M,DG10,517112,,DO NEG,,Firm Fixed Price,12/3/2024,12/12/2024,12/23/2024,120,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W91CRB-25-F-5014,,AE24113 IT-B-YDL L3Harris IDIQ,,,$250K to $1M,5810,,,DO,,Firm Fixed Price,11/15/2024,,11/29/2024,16,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 002635,W91CRB22P0007,RMT,,,$1M to $5M,DK01,,SDVOSB SOLE SOURCE,,,,,,2/28/2025,36,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
PANROC-25-P-0000 003149,,Jira/ Confluence- Increase in Licenses ,,,$25K to $250K,N/A,,,,,Firm Fixed Price,,,1/10/2025,6,ACC CTRS,ACC-RI,"HQ, DA",ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W911SR-25-D-PASS,,PASS Program and Staff Support Base ID/IQ,No,No,$50M to $100M,R408,541611,,CONTR,,Cost Plus Fixed Fee,,,3/3/2025,60,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W9124B-25-F-0011,,Energy Savings Performance,,,$25M to $50M,B543,,,DO,,Firm Fixed Price,11/15/2024,,11/29/2024,12,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN414-25-P-0000 000265,,2025 West Africa Logistics Conference,,,$25K to $250K,V231,,,CONTR,,Firm Fixed Price,3/3/2025,4/4/2025,,TBD,ACC OO,414TH CSB,"HQ, AFC",ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANNWJ-23-P-0000 002847,,CCS B-60 RELOCATE ELECTRIC SVC TO NEW POLE ,,,< $25K,Z2NZ,,,DO NEG,,Firm Fixed Price,,,,2,ACC CTRS,ACC-NJ,AMC: IMCOM,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANAPG-24-P-0000 024053,,Fort Jackson IMCS IV Recompete,,,$5M to $10M,DG01,,,DO,,Firm Fixed Price,,,,12,ACC CTRS,ACC-APG,USARCYBER,ACC OSBP - APG,https://osbp.apg.army.mil
W15QKN-25-R-0001,W15AKN19D0055,NGB MFH/ SOS: Recompete of 19-D-0055/ 20-F-0601 ,,,$50M to $100M,R408,,,CONTR,,Firm Fixed Price,,,4/15/2025,48,ACC CTRS,ACC-NJ,PEO ENTERPRISE,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W56KGZ-25-Q-1000,,2024-SU-048 White Line Upgrade,,,$250K to $1M,7B22,,,CONTR,,Firm Fixed Price,5/22/2025,6/6/2025,9/1/2025,TBD,ACC OO,408TH CSB,USARCENT,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANAPG-25-P-0000 002831,,CACI W15P7T-19-D-0157/23F0014 inc funding,,,$100M to $250M,UNKNOWN,,,,,,,,11/27/2024,2,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-24-R-0070,,M1E3 ECP Phase I ,,,≥ $250M,R425,,,CONTR,,Cost Plus Incentive Fee,11/7/2024,2/10/2025,,TBD,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 016679,W9124G20F0028,Live Virtual Constructive Gaming System FY25-29,,,$5M to $10M,U012,,,CONTR,,Firm Fixed Price,3/21/2025,4/21/2025,5/26/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-24-P-0000 011453,,Wire Marker Sleeves,No,No,$250K to $1M,9310,322220,,CONTR,,Firm Fixed Price,12/20/2024,1/21/2025,12/15/2024,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W91QV1-25-Q-0003,,PRES INAUG Light Sets - FY25,No,No,< $25K,W062,532490,,PO,,Firm Fixed Price,,,12/31/2031,1,MICC,FDO FSH,MDW,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-24-P-0000 002399,,DPW 25 D013 WR# CR000021J Roof Replacement E1042,,,$250K to $1M,Z1AZ,,,DO,,Firm Fixed Price,1/6/2025,,1/10/2025,12,ACC CTRS,ACC-APG,AMC: IMCOM,ACC OSBP - APG,https://osbp.apg.army.mil
PANRSA-24-P-0000 005956,,"19D0006, MTADS/PPSS New TO AUSTRALIA ",,,< $25K,J016,,,DO,,Firm Fixed Price,,,12/20/2024,12,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W519TC-25-T-4022,,"BGAD FY25: ARAT II NYLON STRAP,  AND RUBBER STRIP",,,$25K to $250K,N/A,,,DO,,Firm Fixed Price,11/19/2024,12/2/2024,11/25/2024,6,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 018292,W9124D22C0021,5th-Seattle-NM-New (FY 25),,,$25K to $250K,8970,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,6/13/2025,7/15/2025,8/1/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-25-P-0000 002129,,MOTSU_FY25 QTR 1_FE&S BPA Order,,,$25K to $250K,4210,,,DO NEG,,Firm Fixed Price,11/26/2024,12/6/2024,12/5/2024,TBD,ACC CTRS,ACC-RI,AMC: SDDC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 003076,,Knovel ,,,$25K to $250K,U099,,,PO,,Firm Fixed Price,,,11/28/2024,12,MICC,FDO EUSTIS,USMA,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-25-P-0000 001294,,CLOSURE TOOL ASSY,,,$25K to $250K,3419,,,CONTR,,Firm Fixed Price,,,12/9/2024,2,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-24-P-0000 009104,,CDAO - AI TALENT 2.0 - BOA - ATOMRAIN,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANDTA-25-P-0000 002119,,R&D DCS TES,,,$1M to $5M,N/A,,,,,,,,12/30/2024,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-25-P-0000 004589,,"DRK, P13, Thermo Fisher Icap Opt 4",,,$25K to $250K,J066,,,,,,,,4/1/2025,12,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 009137,,11906431 MO008 CUSTODIAL OPT 2 FY23 DEOB,,,< $25K,S201,,,,,,,,3/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 002611,,PR TBD A&E DESIGN-REPLACE DOUBLE BARRELL CULVERT ,,,$25K to $250K,C211,,,DO NEG,,Firm Fixed Price,12/28/2024,1/17/2025,2/3/2025,12,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-25-P-0000 003079,,CAA Carpet Replacement Bldg. 1839,,,$250K to $1M,S214,,,CONTR,,Firm Fixed Price,12/26/2024,1/9/2025,,3,ACC CTRS,ACC-DTA,"HQ, DA",ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-23-P-0000 007467,,PBA FY25 Chipboard and Boxboard,,,$25K to $250K,1395,,,CONTR,,Firm Fixed Price,12/6/2024,12/23/2024,11/29/2024,12,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 006416,,11803102 IL177 SNOW BASE YR FY24 DEOB,,,< $25K,S218,,,,,,,,1/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-25-P-0000 003713,,RT00016-25; ALTIUM LICENSE MAINTENANCE,,,< $25K,DA10,,,BPA,,Firm Fixed Price,12/30/2024,1/6/2025,1/31/2025,12,ACC CTRS,ACC-RSA,AFC: CCDC,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANDTA-25-P-0000 003339,,24F0025 CLIN 2041,,,$25K to $250K,N/A,,,,,,,,12/6/2024,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANORL-24-P-0000 001102,,Taiwan Portable Joint Fires Trainer,,,$1M to $5M,6910,,,CONTR,,Firm Fixed Price,,,9/30/2025,12,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
W912PF-25-B-A009,,1127 SFAB LAT Rental Vehicles and Interpreters,,,$25K to $250K,V212,,,CONTR,,Firm Fixed Price,11/29/2024,12/6/2024,12/18/2024,1,ACC OO,414TH CSB,USAREUR-AF,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANROC-24-P-0000 006363,W52P1J20C0001,MOTCO_Potable Water Utility Services_Recompete,,,$1M to $5M,N/A,,NO SET ASIDE USED.,CONTR,,Firm Fixed Price,,,4/1/2025,60,ACC CTRS,ACC-RI,AMC: SDDC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PAN413-24-P-0000 000610,,"SVC FAP Prevention, Education and Outreach",No,No,$1M to $5M,G099,624190,,CONTR,,Firm Fixed Price,12/16/2024,12/16/2024,1/24/2025,12,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-24-P-0000 021062,W9124R20D0003,Solid Waste Management FY25,,,$1M to $5M,S205,,SMALL BUSINESS SET ASIDE - TOTAL,PO,,Firm Fixed Price,2/3/2025,3/10/2025,7/24/2025,60,MICC,418TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W90VN7-25-R-A005,,CN/KN/Install HV Cables South Loop/ak13kok,,,$250K to $1M,Z2FZ,,,CONTR,,Firm Fixed Price,11/4/2024,12/2/2024,,9,ACC OO,411TH CSB,AIR FORCE,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
